actual_price,discount,name,price_without_discount,rating,specification,total_ratings
"₹9,799",34% off,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹,14,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor,1 Year Warranty Provided By the Manufacturer from Date of Purchase","1,26,622 Ratings "
"₹5,749",36% off,"POCO C50 (Country Green, 32 GB)","₹,8,999",4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor, Upto 2.0 GHz Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","3,353 Ratings "
"₹5,749",36% off,"POCO C50 (Royal Blue, 32 GB)","₹,8,999",4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor, Upto 2.0 GHz Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","3,353 Ratings "
"₹9,799",34% off,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹,14,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor,1 Year Warranty Provided By the Manufacturer from Date of Purchase","1,26,622 Ratings "
"₹9,799",34% off,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹,14,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor,1 Year Warranty Provided By the Manufacturer from Date of Purchase","1,26,622 Ratings "
"₹9,299",38% off,"REDMI 10 (Pacific Blue, 64 GB)","₹,14,999",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","1,94,416 Ratings "
"₹9,299",38% off,"REDMI 10 (Caribbean Green, 64 GB)","₹,14,999",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","1,94,416 Ratings "
"₹10,999",21% off,"realme C35 (Glowing Black, 64 GB)","₹,13,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 0.3MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery,Unisoc Tiger T616 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","1,71,600 Ratings "
"₹10,999",21% off,"realme C35 (Glowing Green, 64 GB)","₹,13,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 0.3MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery,Unisoc Tiger T616 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","1,71,600 Ratings "
"₹11,999",20% off,"realme C35 (Glowing Green, 128 GB)","₹,14,999",4.4,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 0.3MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery,Unisoc Tiger T616 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","1,71,600 Ratings "
