actual_price,discount,name,price_without_discount,rating,specification,total_ratings
"₹65,999",17% off,"APPLE iPhone 14 (Purple, 128 GB)","₹,79,900",4.7,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","18,711 Ratings "
"₹65,999",17% off,"APPLE iPhone 14 (Blue, 128 GB)","₹,79,900",4.7,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","18,711 Ratings "
"₹73,999",17% off,"APPLE iPhone 14 Plus (Purple, 128 GB)","₹,89,900",4.7,"128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","4,675 Ratings "
"₹73,999",17% off,"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹,89,900",4.7,"128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","4,675 Ratings "
"₹38,999",11% off,"APPLE iPhone 11 (White, 64 GB)","₹,43,900",4.6,"64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year","1,86,187 Ratings "
"₹73,999",17% off,"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹,89,900",4.7,"128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","4,675 Ratings "
"₹38,999",11% off,"APPLE iPhone 11 (Black, 64 GB)","₹,43,900",4.6,"64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year","1,86,187 Ratings "
"₹65,999",17% off,"APPLE iPhone 14 (Starlight, 128 GB)","₹,79,900",4.7,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","18,711 Ratings "
"₹73,999",17% off,"APPLE iPhone 14 Plus (Blue, 128 GB)","₹,89,900",4.7,"128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","4,675 Ratings "
"₹59,999",14% off,"APPLE iPhone 13 (Pink, 128 GB)","₹,69,900",4.7,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year","1,94,061 Ratings "
"₹65,999",17% off,"APPLE iPhone 14 (Midnight, 128 GB)","₹,79,900",4.7,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","18,711 Ratings "
"₹59,999",14% off,"APPLE iPhone 13 (Midnight, 128 GB)","₹,69,900",4.7,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year","1,94,061 Ratings "
"₹59,999",14% off,"APPLE iPhone 13 (Blue, 128 GB)","₹,69,900",4.7,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year","1,94,061 Ratings "
"₹59,999",14% off,"APPLE iPhone 13 (Starlight, 128 GB)","₹,69,900",4.7,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year","1,94,061 Ratings "
"₹83,999",15% off,"APPLE iPhone 14 Plus (Starlight, 256 GB)","₹,99,900",4.7,"256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","4,675 Ratings "
"₹75,999",15% off,"APPLE iPhone 14 (Blue, 256 GB)","₹,89,900",4.7,"256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","18,711 Ratings "
"₹75,999",15% off,"APPLE iPhone 14 (Starlight, 256 GB)","₹,89,900",4.7,"256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","18,711 Ratings "
"₹65,999",17% off,"APPLE iPhone 14 ((PRODUCT)RED, 128 GB)","₹,79,900",4.7,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","18,711 Ratings "
"₹47,999",1% off,"APPLE iPhone 11 (Black, 128 GB)","₹,48,900",4.6,"128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year","1,86,187 Ratings "
"₹47,999",1% off,"APPLE iPhone 11 (White, 128 GB)","₹,48,900",4.6,"128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year","1,86,187 Ratings "
"₹73,999",17% off,"APPLE iPhone 14 Plus ((PRODUCT)RED, 128 GB)","₹,89,900",4.7,"128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","4,675 Ratings "
"₹75,999",15% off,"APPLE iPhone 14 (Midnight, 256 GB)","₹,89,900",4.7,"256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","18,711 Ratings "
"₹75,999",15% off,"APPLE iPhone 14 (Purple, 256 GB)","₹,89,900",4.7,"256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","18,711 Ratings "
"₹83,999",15% off,"APPLE iPhone 14 Plus (Midnight, 256 GB)","₹,99,900",4.7,"256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","4,675 Ratings "
"₹75,999",15% off,"APPLE iPhone 14 ((PRODUCT)RED, 256 GB)","₹,89,900",4.7,"256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","18,711 Ratings "
"₹69,999",12% off,"APPLE iPhone 13 (Starlight, 256 GB)","₹,79,900",4.7,"256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year","1,94,061 Ratings "
"₹69,999",12% off,"APPLE iPhone 13 (Midnight, 256 GB)","₹,79,900",4.7,"256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year","1,94,061 Ratings "
"₹53,999",9% off,"APPLE iPhone 12 (Purple, 64 GB)","₹,59,900",4.6,"64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,Industry-leading IP68 Water Resistance,All Screen OLED Display,12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording,Brand Warranty for 1 Year","1,87,375 Ratings "
"₹83,999",15% off,"APPLE iPhone 14 Plus (Purple, 256 GB)","₹,99,900",4.7,"256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","4,675 Ratings "
"₹53,999",9% off,"APPLE iPhone 12 (Black, 64 GB)","₹,59,900",4.6,"64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,Industry-leading IP68 Water Resistance,All Screen OLED Display,12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording,Brand Warranty for 1 Year","1,87,375 Ratings "
"₹53,999",9% off,"APPLE iPhone 12 (Green, 64 GB)","₹,59,900",4.6,"64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,Industry-leading IP68 Water Resistance,All Screen OLED Display,12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording,Brand Warranty for 1 Year","1,87,375 Ratings "
"₹1,22,999",5% off,"APPLE iPhone 14 Pro (Deep Purple, 128 GB)","₹,1,29,900",4.7,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,A16 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",840 Ratings 
"₹53,999",9% off,"APPLE iPhone 12 (Blue, 64 GB)","₹,59,900",4.6,"64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,Industry-leading IP68 Water Resistance,All Screen OLED Display,12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording,Brand Warranty for 1 Year","1,87,375 Ratings "
"₹1,27,999",8% off,"APPLE iPhone 14 Pro Max (Deep Purple, 128 GB)","₹,1,39,900",4.7,"128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,A16 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",873 Ratings 
"₹83,999",15% off,"APPLE iPhone 14 Plus ((PRODUCT)RED, 256 GB)","₹,99,900",4.7,"256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","4,675 Ratings "
"₹57,999",10% off,"APPLE iPhone 12 (Red, 128 GB)","₹,64,900",4.6,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,Industry-leading IP68 Water Resistance,All Screen OLED Display,12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording,Brand Warranty for 1 Year","1,87,375 Ratings "
