actual_price,discount,name,price_without_discount,rating,specification,total_ratings
"₹1,299",18% off,Nokia 105 SS,"₹,1,599",4.2,"32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) QVGA Display,0MP Front Camera,800 mAh Lithium Ion Battery,SC6531E Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase","31,720 Ratings "
"₹1,449",9% off,Nokia 105 TA-1416 DS,"₹,1,599",4.1,"32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) QVGA Display,0MP Front Camera,800 mAh Lithium Ion Battery,SC6531E Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase","5,063 Ratings "
"₹2,574",14% off,Nokia 150 DS 2020,"₹,2,999",4.1,"4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1020 mAh Lithium-ion Battery,MediaTek Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase","21,415 Ratings "
"₹2,499",10% off,Nokia 150 DS 2020,"₹,2,799",4.1,"4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1020 mAh Lithium-ion Battery,MediaTek Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase","21,415 Ratings "
"₹1,399",17% off,Nokia 105SS PLUS,"₹,1,699",4,"32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) QVGA Display,0MP Front Camera,1000 mAh Battery,SC6531E Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase","1,284 Ratings "
"₹2,573",14% off,Nokia 150 TA-1235 DS,"₹,2,999",4.1,"4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1020 mAh Lithium-ion Battery,MediaTek Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase","12,467 Ratings "
"₹1,379",18% off,Nokia 105 PLUS,"₹,1,699",4.1,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,1000 mAh Lithium Ion Battery,MTK6261D Processor,1 Year Manufacturer Warranty For Device And 6 Months Manufacturer Warranty For In-Box Accessories Including Battery From The Date Of Purchase","7,464 Ratings "
"₹1,580",1% off,Nokia TA-1174 / TA-1299,"₹,1,599",4.2,"4 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) Display,800 mAh Battery,1 Year Manufacturer Warranty","55,462 Ratings "
"₹1,480",,Nokia 105 ss,,4.3,"4 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) Quarter QVGA Display,800 mAh Battery,1 Year Manufacturer Warranty","78,681 Ratings "
"₹5,499",21% off,"Nokia C01 Plus (Blue, 16 GB)","₹,6,999",3.8,"2 GB RAM | 16 GB ROM,13.84 cm (5.45 inch) HD+ Display,5MP Rear Camera | 2MP Front Camera,3000 mAh Li-ion Battery,Unisoc SC9863A Processor,1 Year Manufacturer Warranty For Device and Battery and 6 Months Manufacturer Warranty for In-box Accessories From the Date of Purchase","4,465 Ratings "
"₹2,320",10% off,Nokia 125 TA-1253 DS,"₹,2,599",4,"4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,1020 mAh Lithium-ion Battery,MediaTek Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase","2,973 Ratings "
"₹1,699",19% off,Nokia 110 TA-1302 DS,"₹,2,099",4,"4 MB RAM | 4 MB ROM | Expandable Upto 32 MB,4.5 cm (1.77 inch) QVGA Display,1MP Rear Camera,800 mAh Battery,Brand Warranty of 1 Year Available for Mobile","24,945 Ratings "
"₹1,699",19% off,Nokia 110 TA-1302 DS,"₹,2,099",4,"4 MB RAM | 4 MB ROM | Expandable Upto 32 MB,4.5 cm (1.77 inch) QVGA Display,1MP Rear Camera,800 mAh Battery,Brand Warranty of 1 Year Available for Mobile","24,945 Ratings "
"₹1,799",18% off,Nokia 110,"₹,2,199",4.3,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Quarter QVGA Display,0.08MP Rear Camera,800 mAh Lithium Ion Battery,Unisoc 6531E Processor,1 Year Manufacturer Warranty For Device and 6 Months Manufacturer Warranty For in-box Accessories Including Battery From The Date of Purchase",27 Ratings 
"₹1,599",,Nokia 105 TA-1416 DS,,4.1,"32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) QVGA Display,0MP Front Camera,800 mAh Lithium Ion Battery,SC6531E Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase","5,063 Ratings "
"₹3,499",12% off,Nokia 5310 TA-1212 DS,"₹,3,999",4.2,"8 MB RAM | 16 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1200 mAh Lithium-ion Battery,MT6260A Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase","8,731 Ratings "
"₹1,670",1% off,Nokia 105 DS 2020,"₹,1,699",4.2,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 Inch) Quarter QVGA Display,800 mAh3 Li-ion Battery,Brand Warranty of 1 Year Available for Mobile from Date of Purchase","27,562 Ratings "
"₹2,324",10% off,Nokia 125 DS 2020,"₹,2,599",4,"4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,1020 mAh Lithium-ion Battery,MediaTek Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase","6,134 Ratings "
"₹5,499",21% off,"Nokia C01 Plus (Grey, 16 GB)","₹,6,999",3.8,"2 GB RAM | 16 GB ROM,13.84 cm (5.45 inch) HD+ Display,5MP Rear Camera | 2MP Front Camera,3000 mAh Li-ion Battery,Unisoc SC9863A Processor,1 Year Manufacturer Warranty For Device and Battery and 6 Months Manufacturer Warranty for In-box Accessories From the Date of Purchase","4,465 Ratings "
"₹5,999",25% off,"Nokia C01 Plus (Blue, 32 GB)","₹,7,999",3.8,"2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) HD+ Display,5MP Rear Camera | 2MP Front Camera,3000 mAh Lithium Polymer Battery,Unisoc SC9863A Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase","4,465 Ratings "
"₹1,710",18% off,Nokia 110 DS,"₹,2,099",4,"4 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,1MP Rear Camera,800 mAh Battery,1 Year",562 Ratings 
"₹1,699",19% off,Nokia 110 TA-1302 DS,"₹,2,099",4,"4 MB RAM | 4 MB ROM | Expandable Upto 32 MB,4.5 cm (1.77 inch) QVGA Display,1MP Rear Camera,800 mAh Battery,Brand Warranty of 1 Year Available for Mobile","24,945 Ratings "
"₹1,448",,Nokia TA-1304/105 SS,,4.2,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Display,800 mAh Battery,1 Year Manufacturer Warranty","63,213 Ratings "
"₹3,499",12% off,Nokia 5310ds,"₹,3,999",4.1,"8 MB RAM | 16 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1200 mAh Lithium-ion Battery,MT6260A Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase","7,754 Ratings "
"₹3,849",27% off,Nokia 8210 4G DS,"₹,5,290",4.2,"0.046875 GB RAM | 0.125 GB ROM,7.11 cm (2.8 inch) QVGA Display,0.3MP Rear Camera,1450 mAh Battery,Single Core Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase",31 Ratings 
"₹4,398",,Nokia 3310 DS 2020,,3.9,"16 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,2MP Rear Camera,1200 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","35,485 Ratings "
"₹1,544",9% off,Nokia 105DS PLUS,"₹,1,699",4,"32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) QVGA Display,0MP Front Camera,800 mAh Battery,SC6531E Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase",275 Ratings 
"₹1,390",18% off,Nokia 105 PLUS SS,"₹,1,699",4,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Display,1000 mAh Battery,1 Year Manufacturer Warranty",257 Ratings 
"₹5,999",25% off,"Nokia C01 Plus (Grey, 32 GB)","₹,7,999",3.8,"2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) HD+ Display,5MP Rear Camera | 2MP Front Camera,3000 mAh Lithium Polymer Battery,Unisoc SC9863A Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase","4,460 Ratings "
"₹1,540",18% off,Nokia 105DS PLUS,"₹,1,899",4,"32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) QVGA Display,0MP Front Camera,800 mAh Battery,SC6531E Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase",275 Ratings 
"₹3,849",27% off,Nokia 8210 4G DS,"₹,5,290",4.2,"0.046875 GB RAM | 0.125 GB ROM,7.11 cm (2.8 inch) QVGA Display,0.3MP Rear Camera,1450 mAh Battery,Single Core Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase",31 Ratings 
