actual_price,discount,name,price_without_discount,rating,specification,total_ratings
"₹5,749",36% off,"POCO C50 (Country Green, 32 GB)","₹,8,999",4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor, Upto 2.0 GHz Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","3,353 Ratings "
"₹5,749",36% off,"POCO C50 (Royal Blue, 32 GB)","₹,8,999",4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor, Upto 2.0 GHz Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","3,353 Ratings "
"₹13,099",22% off,"POCO M4 Pro 5G (Yellow, 64 GB)","₹,16,999",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor,One Year for Handset, 6 Months for Accessories","42,198 Ratings "
"₹15,099",24% off,"POCO M4 Pro 5G (Yellow, 128 GB)","₹,19,999",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor,One Year for Handset, 6 Months for Accessories","49,704 Ratings "
"₹15,999",27% off,"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹,21,999",4.2,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor,One Year for Handset, 6 Months for Accessories","13,708 Ratings "
"₹11,999",25% off,"POCO M4 5G (Cool Blue, 64 GB)","₹,15,999",4.2,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor,1 Year Warranty for Handset and 6 Months for Accessories","56,668 Ratings "
"₹18,499",28% off,"POCO X4 Pro 5G (Laser Blue, 128 GB)","₹,25,999",4.2,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor,One Year for Handset, 6 Months for Accessories","18,138 Ratings "
"₹11,999",25% off,"POCO M4 5G (Power Black, 64 GB)","₹,15,999",4.2,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor,1 Year Warranty for Handset and 6 Months for Accessories","56,668 Ratings "
"₹13,999",26% off,"POCO M4 5G (Power Black, 128 GB)","₹,18,999",4.2,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor,1 Year Warranty for Handset and 6 Months for Accessories","28,572 Ratings "
"₹6,999",30% off,"POCO C50 (Royal Blue, 32 GB)","₹,9,999",4.2,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor, Upto 2.0 GHz Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","2,031 Ratings "
