actual_price,discount,name,price_without_discount,rating,specification,total_ratings
"₹14,499",27% off,"vivo T1 44W (Starry Sky, 128 GB)","₹,19,990",4.5,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year Handset and 6 Months Accessories","91,960 Ratings "
"₹14,499",27% off,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹,19,990",4.5,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year Handset and 6 Months Accessories","91,960 Ratings "
"₹15,999",23% off,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹,20,990",4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year Handset and 6 Months Accessories","52,575 Ratings "
"₹15,999",23% off,"vivo T1 44W (Starry Sky, 128 GB)","₹,20,990",4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year Handset and 6 Months Accessories","52,575 Ratings "
"₹17,999",24% off,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹,23,990",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year Handset and 6 Months Accessories","6,049 Ratings "
"₹17,999",24% off,"vivo T1 44W (Starry Sky, 128 GB)","₹,23,990",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year Handset and 6 Months Accessories","6,049 Ratings "
"₹23,999",17% off,"vivo T1 Pro 5G (Turbo Cyan, 128 GB)","₹,28,990",4.4,"6 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor,1 Year Handset and 6 Months Accessories","8,169 Ratings "
"₹11,999",29% off,"vivo T1X (Space Blue, 64 GB)","₹,16,990",4.5,"4 GB RAM | 64 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories","81,650 Ratings "
"₹11,999",29% off,"vivo T1X (Gravity Black, 64 GB)","₹,16,990",4.5,"4 GB RAM | 64 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories","81,650 Ratings "
"₹12,999",27% off,"vivo T1X (Gravity Black, 128 GB)","₹,17,990",4.5,"4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories","81,650 Ratings "
"₹14,999",21% off,"vivo T1X (Gravity Black, 128 GB)","₹,18,990",4.4,"6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories","4,262 Ratings "
"₹12,999",27% off,"vivo T1X (Space Blue, 128 GB)","₹,17,990",4.5,"4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories","81,650 Ratings "
"₹14,999",21% off,"vivo T1X (Space Blue, 128 GB)","₹,18,990",4.4,"6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories","4,262 Ratings "
"₹24,999",19% off,"vivo T1 Pro 5G (Turbo Black, 128 GB)","₹,30,990",4.4,"8 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor,1 Year Handset and 6 Months Accessories","16,954 Ratings "
"₹23,999",17% off,"vivo T1 Pro 5G (Turbo Black, 128 GB)","₹,28,990",4.4,"6 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor,1 Year Handset and 6 Months Accessories","8,169 Ratings "
"₹7,999",38% off,"vivo Y01 (Sapphire Blue, 32 GB)","₹,12,999",4.2,"2 GB RAM | 32 GB ROM,16.54 cm (6.51 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio P35 Processor,1 Year on Handset and 6 Months on Accessories","1,358 Ratings "
"₹18,499",19% off,"vivo Y35 (Agate Black, 128 GB)","₹,22,999",4.4,"8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year of Device & 6 Months for In-Box Accessories","1,853 Ratings "
"₹18,499",19% off,"vivo Y35 (Dawn Gold, 128 GB)","₹,22,999",4.4,"8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year of Device & 6 Months for In-Box Accessories","1,853 Ratings "
"₹15,990",20% off,"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹,19,990",4.3,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Turbo Processor Snapdragon 695 Processor,1 Year Handset and 6 Months Accessories","64,752 Ratings "
"₹9,999",23% off,"vivo Y16 (Drizzling Gold, 32 GB)","₹,12,999",4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio P35 Processor,1 Year of Device & 6 Months for In-Box Accessories","1,581 Ratings "
"₹9,499",32% off,"vivo Y15s (Wave Green, 32 GB)","₹,13,990",4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Lithium Battery Battery,Mediatek Helio P35 Processor,1 Year for Device & 6 Months for In-Box Accessories","3,859 Ratings "
"₹8,999",30% off,"vivo Y02 (Cosmic Grey, 32 GB)","₹,12,999",4.3,"3 GB RAM | 32 GB ROM,16.54 cm (6.51 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,MediaTek P22 Processor,1 Year of Device & 6 Months for In-Box Accessories",272 Ratings 
"₹7,999",38% off,"vivo Y01 (Elegant Black, 32 GB)","₹,12,999",4.2,"2 GB RAM | 32 GB ROM,16.54 cm (6.51 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio P35 Processor,1 Year on Handset and 6 Months on Accessories","1,358 Ratings "
"₹19,999",20% off,"vivo Y56 5G (Black Engine, 128 GB)","₹,24,999",4.5,"8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Mediatek Dimensity 700 Processor,1 Year Manufacturer Warranty for Handset and 6 Months Manufacturer Warranty for In-Box Accessories",111 Ratings 
